seed,objective,arm,layer,native_rho,shuffled_rho,native_minus_shuffled,pass_shuffled_lt_native
42,masked,ckpt_mlm_s42_token,11,0.07552925714495883,0.04479619795811971,0.030733059186839114,True
42,masked,ckpt_mlm_s42_token,14,0.09979868984087772,0.0500447253666842,0.04975396447419352,True
42,masked,ckpt_mlm_s42_token,18,0.15811190935464342,0.05735764290500005,0.10075426644964337,True
42,causal,ckpt_clm_s42,11,0.2922939085728118,0.11664111251869445,0.17565279605411732,True
42,causal,ckpt_clm_s42,14,0.3803426579374097,0.12314424806406842,0.25719840987334125,True
42,causal,ckpt_clm_s42,18,0.46783332213652007,0.13146697677262453,0.33636634536389554,True
43,masked,ckpt_mlm_s43_token,11,0.079698692437891,0.042903934748123096,0.03679475768976791,True
43,masked,ckpt_mlm_s43_token,14,0.09728103760518099,0.047639433145716205,0.049641604459464785,True
43,masked,ckpt_mlm_s43_token,18,0.14561167945639933,0.056252117389836404,0.08935956206656293,True
43,causal,ckpt_clm_s43,11,0.27410262303040744,0.11496748104795093,0.1591351419824565,True
43,causal,ckpt_clm_s43,14,0.34452734176854893,0.12217998550074359,0.22234735626780533,True
43,causal,ckpt_clm_s43,18,0.4451507913427873,0.13197800101669874,0.3131727903260886,True
44,masked,ckpt_mlm_s44_token,11,0.07920865034485879,0.041868728471718034,0.03733992187314075,True
44,masked,ckpt_mlm_s44_token,14,0.10591265131855485,0.045582871442820486,0.06032977987573436,True
44,masked,ckpt_mlm_s44_token,18,0.15885114993866334,0.05284561702538334,0.10600553291327999,True
44,causal,ckpt_clm_s44,11,0.2713181275370462,0.1121444285108331,0.1591736990262131,True
44,causal,ckpt_clm_s44,14,0.3525344470602023,0.12331656425656891,0.22921788280363342,True
44,causal,ckpt_clm_s44,18,0.4420704106221463,0.13301721194762442,0.30905319867452186,True
